label,lat,lon,period,start,end,lc_water_pct,lc_water_conf,lc_trees_pct,lc_trees_conf,lc_grass_pct,lc_grass_conf,lc_flooded_vegetation_pct,lc_flooded_vegetation_conf,lc_crops_pct,lc_crops_conf,lc_shrub_and_scrub_pct,lc_shrub_and_scrub_conf,lc_built_pct,lc_built_conf,lc_bare_pct,lc_bare_conf
lat29_4241_lonn98_4936,29.4241,-98.4936,historical_2016,2016-05-01,2016-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.27,0.9727,2.73,0.0273
lat29_4241_lonn98_4936,29.4241,-98.4936,recent_2017,2017-05-01,2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0
lat29_4241_lonn98_4936,29.4241,-98.4936,recent_2018,2018-05-01,2018-08-01,0.0,0.0,0.0,0.0,0.02,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,99.36,0.9936,0.61,0.0061
lat29_4241_lonn98_4936,29.4241,-98.4936,recent_2019,2019-05-01,2019-08-01,0.0,0.0,0.07,0.0007,0.29,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,99.07,0.9907,0.57,0.0057
lat29_4241_lonn98_4936,29.4241,-98.4936,recent_2020,2020-05-01,2020-08-01,0.0,0.0,0.0,0.0,0.06,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,99.49,0.9949,0.45,0.0045
lat29_4241_lonn98_4936,29.4241,-98.4936,recent_2021,2021-05-01,2021-08-01,0.0,0.0,0.06,0.0006,0.32,0.0032,0.0,0.0,0.01,0.0001,0.0,0.0,98.94,0.9894,0.67,0.0067
lat29_4241_lonn98_4936,29.4241,-98.4936,recent_2022,2022-05-01,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.43,0.9943,0.57,0.0057
lat29_4241_lonn98_4936,29.4241,-98.4936,recent_2023,2023-05-01,2023-08-01,0.0,0.0,0.0,0.0,0.02,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,99.36,0.9936,0.61,0.0061
lat29_4241_lonn98_4936,29.4241,-98.4936,recent_2024,2024-05-01,2024-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.47,0.9947,0.53,0.0053
lat29_4241_lonn98_4936,29.4241,-98.4936,recent_2025,2025-05-01,2025-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.45,0.9945,0.54,0.0054
